epoch,evalLossMean
1,1.6257771253585815
2,1.2748425669140286
3,1.0946460167566936
4,0.9785710242059495
5,0.9266832735803392
6,0.8198745250701904
7,0.7780502835909525
8,0.7143411835034689
9,0.6890733771853976
10,0.6388228005833096
11,0.6644162204530504
12,0.581261952718099
13,0.5551870829529233
14,0.5382110906971825
15,0.539369500345654
16,0.5078335007031759
17,0.5151617361439599
18,0.5457060734430949
19,0.5009920928213332
20,0.4590536389085982
21,0.4879626631736755
22,0.4539742370446523
23,0.4320182634724511
24,0.4409784310393863
25,0.4446577197975583
26,0.4172530836529202
27,0.4426001509030661
28,0.4083310597472721
29,0.39117632971869576
30,0.3968808485402001
31,0.3905943499671088
32,0.4055485592948066
33,0.4150065779685974
34,0.4013133148352305
35,0.3817026813824971
36,0.3790016074975331
37,0.4143794543213313
38,0.4006305800543891
39,0.3820697996351454
40,0.3794082601865133
41,0.35798800322744584
42,0.3599080012904273
43,0.36025869846343994
44,0.3700640102227529
45,0.33667333589659804
46,0.35017868545320296
47,0.34694771303070915
48,0.3386866913901435
49,0.3363874355951945
50,0.34213123387760586
51,0.3405077358086904
52,0.3456465734375848
53,0.3326778577433692
54,0.3370022144582536
55,0.3406597938802507
56,0.3326186670197381
57,0.33396930827034843
58,0.3219670785797967
59,0.3231472604804569
60,0.32546127173635697
61,0.33169657323095536
62,0.335915035671658
63,0.3504441976547241
64,0.33317158950699705
65,0.35080690847502816
66,0.3265109227763282
67,0.32749511467085946
68,0.3296268946594662
1,1.4397322204377916
2,1.2908287445704143
3,1.1201446851094563
4,1.0386428700553043
5,0.9710606402821012
6,0.9288620087835524
7,0.8775868680742052
8,0.8668444686465793
9,0.828167027897305
10,0.7908820178773668
11,0.7523969411849976
12,0.7489241295390658
13,0.7109421822759839
14,0.7407289942105612
15,0.6903596984015571
16,0.6489427222145928
17,0.6235048042403327
18,0.6213414072990417
19,0.6139898101488749
20,0.6018379330635071
21,0.5948151681158278
22,0.5979103909598457
23,0.584433396657308
24,0.5786917540762161
25,0.5891677604781257
26,0.5952273474799262
27,0.6060056951310899
28,0.6061572366290622
29,0.5928181476063199
30,0.5932702355914645
31,0.6105271511607699
32,0.5933802790111966
33,0.5700441731346978
34,0.557079447640313
35,0.5588332017262777
36,0.5459105107519362
37,0.5459076431062486
38,0.5371837549739413
39,0.5326268374919891
40,0.5388567778799269
41,0.5479391018549601
42,0.5384903053442637
43,0.5358211265669929
44,0.5272700720363193
45,0.5304566787348853
46,0.5269812610414293
47,0.535045345624288
48,0.5571694042947557
49,0.5570293731159635
50,0.537595295243793
51,0.5480861696932051
52,0.5351683894793192
53,0.5277800758679708
54,0.5231447849008772
55,0.526451544629203
56,0.5361047618918948
57,0.5185199744171567
58,0.526258067952262
59,0.5266233914428287
60,0.5265383720397949
61,0.5226494040754106
62,0.5275939404964447
63,0.5273643566502465
64,0.5576605598131815
65,0.5262391534116533
66,0.5327409638298882
67,0.5258546074231466
